"","site","Survey","date","year","plot","sp","sp2","wdt_1"
"197","Heathy Spur 2","1990s","30/3/1995",1990,21,"Acrothamnus montanus","Acrothamnus",16
"198","Heathy Spur 2","1990s","30/3/1995",1990,21,"Acrothamnus montanus","Acrothamnus",18
"199","Heathy Spur 2","1990s","30/3/1995",1990,21,"Acrothamnus montanus","Acrothamnus",22
"200","Heathy Spur 2","1990s","30/3/1995",1990,21,"Acrothamnus montanus","Acrothamnus",24
"201","Heathy Spur 2","1990s","30/3/1995",1990,21,"Acrothamnus montanus","Acrothamnus",28
"202","Heathy Spur 2","1990s","30/3/1995",1990,21,"Acrothamnus montanus","Acrothamnus",35
"203","Heathy Spur 2","1990s","30/3/1995",1990,21,"Acrothamnus montanus","Acrothamnus",35
"204","Heathy Spur 2","1990s","30/3/1995",1990,21,"Acrothamnus montanus","Acrothamnus",44
"205","Heathy Spur 2","1990s","30/3/1995",1990,22,"Acrothamnus montanus","Acrothamnus",3
"206","Heathy Spur 2","1990s","30/3/1995",1990,22,"Acrothamnus montanus","Acrothamnus",15
"207","Heathy Spur 2","1990s","30/3/1995",1990,22,"Acrothamnus montanus","Acrothamnus",17
"208","Heathy Spur 2","1990s","30/3/1995",1990,22,"Acrothamnus montanus","Acrothamnus",19
"209","Heathy Spur 2","1990s","30/3/1995",1990,22,"Acrothamnus montanus","Acrothamnus",20
"210","Heathy Spur 2","1990s","30/3/1995",1990,22,"Acrothamnus montanus","Acrothamnus",21
"211","Heathy Spur 2","1990s","30/3/1995",1990,22,"Acrothamnus montanus","Acrothamnus",25
"212","Heathy Spur 2","1990s","30/3/1995",1990,23,"Acrothamnus montanus","Acrothamnus",12
"213","Heathy Spur 2","1990s","30/3/1995",1990,23,"Acrothamnus montanus","Acrothamnus",17
"214","Heathy Spur 2","1990s","30/3/1995",1990,23,"Acrothamnus montanus","Acrothamnus",18
"215","Heathy Spur 2","1990s","30/3/1995",1990,23,"Acrothamnus montanus","Acrothamnus",24
"216","Heathy Spur 2","1990s","30/3/1995",1990,23,"Acrothamnus montanus","Acrothamnus",41
"217","Heathy Spur 2","1990s","30/3/1995",1990,23,"Acrothamnus montanus","Acrothamnus",42
"218","Heathy Spur 2","1990s","30/3/1995",1990,23,"Acrothamnus montanus","Acrothamnus",55
"219","Heathy Spur 2","1990s","30/3/1995",1990,24,"Acrothamnus montanus","Acrothamnus",3
